@id,rdf:type,skos:hasTopConcept,skos:topConceptOf,skos:inScheme,skos:broader,skos:related,skos:exactMatch,rdfs:label,rdfs:comment,dcterms:creator,dcterms:source,skos:prefLabel,skos:altLabel,skos:definition,skos:note
mav:scheme,skos:ConceptScheme,mav:mav001,,,,,,Money Aggregate Vocabulary,"Money Aggregate Vocabulary, or MoneyAggVoc for short, is an attempt to catalogue money aggregate measures listed in the Exhibit 3 Definitions of Money in Reading 19 on Economics of the CFA Program Curriculum 2016 Level I (ISBN 978-1-942471-19-6) with some minor additions. Although the CFA Program Curriculum inspired the structure of the information in this vocabulary, the actual content was taken from the open sources (DBpedia, Federal Reserve System, European Central Bank, Bank of Japan and Bank of England) and includes appropriate references.",https://www.linkedin.com/in/emorozov/,,,,,
mav:mav001,skos:Concept,,mav:scheme,mav:scheme,,,,,,,http://dbpedia.org/resource/Money_supply,Money aggregate,,"In economics, the money supply or money stock, is the total amount of monetary assets available in an economy at a specific time. There are several ways to define ""money"", but standard measures usually include currency in circulation and demand deposits (depositors' easily accessed assets on the books of financial institutions).",
mav:mav002,skos:Concept,,,mav:scheme,mav:mav001,,http://eurovoc.europa.eu/1825,,,,https://www.ecb.europa.eu/stats/money_credit_banking/monetary_aggregates/html/hist_content.en.html,Eurozone money aggregate,,"The ECB's definition of euro area monetary aggregates is based on the following:
A harmonised definition of the money-issuing sector. It consists of those entities which issue liabilities with a high degree of moneyness to non-MFIs located in the euro area (excluding central government). This sector comprises MFIs resident in the euro area.
A harmonised definition of the money-holding sector, which comprises all non-MFIs resident in the euro area (except central government). In addition to households, non-financial corporations and financial institutions which are not MFIs are included, as well as state and local governments and social security funds. Central governments are considered to constitute a ""money-neutral"" sector, with one exception: central government liabilities with a monetary character (Post Office accounts, national savings accounts and Treasury accounts) are included as a special item in the definition of monetary aggregates.
The harmonised definitions of MFI liabilities categories. These make it possible to distinguish between MFI liabilities according to their degree of moneyness, while also taking into account the features of different financial systems.",
mav:mav003,skos:Concept,,,mav:scheme,mav:mav002,,,,,,https://www.ecb.europa.eu/stats/money_credit_banking/monetary_aggregates/html/hist_content.en.html,M1,Narrow money,"Narrow money (M1) includes currency, i.e. banknotes and coins, as well as balances which can immediately be converted into currency or used for cashless payments, i.e. overnight deposits.",
mav:mav004,skos:Concept,,,mav:scheme,mav:mav002,,,,,,https://www.ecb.europa.eu/stats/money_credit_banking/monetary_aggregates/html/hist_content.en.html,M2,Intermediate money,"Intermediate money (M2) comprises narrow money (M1) and, in addition, deposits with a maturity of up to two years and deposits redeemable at a period of notice of up to three months. Depending on their degree of moneyness, such deposits can be converted into components of narrow money, but in some cases there may be restrictions involved, such as the need for advance notification, delays, penalties or fees. The definition of M2 reflects the particular interest in analysing and monitoring a monetary aggregate that, in addition to currency, consists of deposits which are liquid.",
mav:mav005,skos:Concept,,,mav:scheme,mav:mav002,,,,,,https://www.ecb.europa.eu/stats/money_credit_banking/monetary_aggregates/html/hist_content.en.html,M3,Broad money,"Broad money (M3) comprises M2 and marketable instruments issued by the MFI sector. Certain money market instruments, in particular money market fund (MMF) shares/units and repurchase agreements are included in this aggregate. A high degree of liquidity and price certainty make these instruments close substitutes for deposits. As a result of their inclusion, M3 is less affected by substitution between various liquid asset categories than narrower definitions of money, and is therefore more stable.",
mav:mav006,skos:Concept,,,mav:scheme,mav:mav001,,,,,,https://www.federalreserve.gov/faqs/money_12845.htm,Unites States money aggregate,,"The money supply is commonly defined to be a group of safe assets that households and businesses can use to make payments or to hold as short-term investments. For example, U.S. currency and balances held in checking accounts and savings accounts are included in many measures of the money supply.",
mav:mav007,skos:Concept,,,mav:scheme,mav:mav006,,,,,,https://www.federalreserve.gov/faqs/money_12845.htm,Monetary base,,The monetary base is defined as the sum of currency in circulation and reserve balances (deposits held by banks and other depository institutions in their accounts at the Federal Reserve).,This measure is not listed in Economics CFA Program Curriculum 2016 Level I Volume 2 Reading 19 Exhibit 3 Definitions of Money (ISBN 978-1-942471-19-6)
mav:mav008,skos:Concept,,,mav:scheme,mav:mav006,,,,,,https://www.federalreserve.gov/faqs/money_12845.htm,M1,,"M1 is defined as the sum of currency held by the public and transaction deposits at depository institutions (which are financial institutions that obtain their funds mainly through deposits from the public, such as commercial banks, savings and loan associations, savings banks, and credit unions).",
mav:mav009,skos:Concept,,,mav:scheme,mav:mav006,,,,,,https://www.federalreserve.gov/faqs/money_12845.htm,M2,,"M2 is defined as M1 plus savings deposits, small-denomination time deposits (those issued in amounts of less than $100,000), and retail money market mutual fund shares.",
